OID_,ID,FAJA,NRO,NOMBRE,CAP,HT,GlobalID,coord_X,coord_Y,PADRINO,LONG,LATI,Field
149,F2 56 MO,PARCELA 2,56,MOMOQUI,71,12,,751438.756299999542534,8029887.460500000044703,,-60.628017710154630,-17.804175469857508,
150,F2 57 MO,PARCELA 2,57,MOMOQUI,122,15,,751434.422299999743700,8029883.216099999845028,,-60.628058063063705,-17.804214296915493,
151,F2 58 TJ,PARCELA 2,58,TAJIBO,150,22,,751436.351300000213087,8029875.116899999789894,,-60.628038909888680,-17.804287220420964,
152,F2 59 CU,PARCELA 2,59,CURUPAU,110,22,,751447.360799999907613,8029881.936800000257790,,-60.627935929782460,-17.804224370340741,
153,F2 60 ST,PARCELA 2,60,SOTO,117,22,,751462.623900000005960,8029882.663700000382960,,-60.627792120407520,-17.804216059708509,
154,F2 61 MO,PARCELA 2,61,MOMOQUI,103,21,,751457.129499999806285,8029877.135900000110269,,-60.627843259932980,-17.804266609977599,
155,F2 62 MO,PARCELA 2,62,MOMOQUI,147,25,,751463.397800000384450,8029883.266599999740720,,-60.627784896296909,-17.804210526368475,
156,F2 63 CU,PARCELA 2,63,CURUPAU,124,21,,751466.437099999748170,8029881.651999999769032,,-60.627756049823297,-17.804224760188230,
157,F2 64 ST,PARCELA 2,64,SOTO,124,23,,751465.429100000299513,8029885.744099999777973,,-60.627766041644954,-17.804187919613458,
158,F2 65 MO,PARCELA 2,65,MOMOQUI,96,18,,751479.967699999921024,8029878.662600000388920,,-60.627628130157106,-17.804250209650171,
159,F2 66 ST,PARCELA 2,66,SOTO,160,25,,751460.029900000430644,8029862.348899999633431,,-60.627814149918130,-17.804399820065800,
160,F2 67 MO,PARCELA 2,67,MOMOQUI,98,20,,751466.084800000302494,8029855.098100000061095,,-60.627756200069015,-17.804464609611120,
161,F2 68 CU,PARCELA 2,68,CURUPAU,106,20,,751464.114400000311434,8029848.426099999807775,,-60.627773979675553,-17.804525090066559,
162,F2 69 MO,PARCELA 2,69,MOMOQUI,120,23,,751456.134499999694526,8029837.856200000271201,,-60.627847949779969,-17.804621460046764,
163,F2 70 ST,PARCELA 2,70,SOTO,91,14,,751446.502299999818206,8029842.377500000409782,,-60.627939299548430,-17.804581729893158,
164,F2 71 ST,PARCELA 2,71,SOTO,92,14,,751440.692099999636412,8029844.333499999716878,,-60.627994310151742,-17.804564729815844,
165,F2 72 CH,PARCELA 2,72,CUCHI,107,14,,751439.310499999672174,8029843.366600000299513,,-60.628007220051842,-17.804573619959715,
166,F2 73 CU,PARCELA 2,73,CURUPAU,100,14,,751432.785299999639392,8029849.859899999573827,,-60.628069513271228,-17.804515725136930,
167,F2 74 MO,PARCELA 2,74,MOMOQUI,80,12,,751429.371600000187755,8029853.824599999934435,,-60.628102170135946,-17.804480310265244,
168,F2 75 MO,PARCELA 2,75,MOMOQUI,113,17,,751425.150700000114739,8029853.877000000327826,,-60.628141969906231,-17.804480319829985,
170,F2 76 TJ,PARCELA 2,76,TAJIBO,150,20,,751433.707700000144541,8029841.062300000339746,,-60.628045241243662,-17.804340378428261,
171,F2 77 CU,PARCELA 2,77,CURUPAU,98,17,,751430.557799999602139,8029840.759300000034273,,-60.628089426867469,-17.804598167753660,
172,F2 78 MO,PARCELA 2,78,MOMOQUI,115,22,,751428.386699999682605,8029837.194500000216067,,-60.628109469767416,-17.804630609920519,
173,F2 79 CU,PARCELA 2,79,CURUPAU,115,21,,751448.798999999649823,8029836.664200000464916,,-60.627916964604857,-17.804633064171117,
174,F2 80 ST,PARCELA 2,80,SOTO,120,24,,751473.296099999919534,8029823.132299999706447,,-60.627684396274489,-17.804752468777043,
175,F2 81 AL,PARCELA 2,81,ALMENDRILLO,80,14,,751468.984199999831617,8029836.048899999819696,,-60.627726590349340,-17.804636311849524,
176,F3 1 CU,PARCELA 3,1,CURUPAU,117,16,,751477.925099999643862,8029828.971400000154972,,-60.627641452623472,-17.804699206104399,
177,F3 2 ST,PARCELA 3,2,SOTO,128,20,,751474.701200000010431,8029819.556099999696016,,-60.627670722246684,-17.804784604801007,
178,F3 4 AJ,PARCELA 3,4,AJUNAO,95,16,,751510.444400000385940,8029843.044599999673665,,-60.627336550140562,-17.804568389998728,
179,F3 5 AJ,PARCELA 3,5,CURUPAU,111,19,,751515.118700000457466,8029837.252899999730289,,-60.627291790291295,-17.804620160171982,
180,F3 6 JI,PARCELA 3,6,JICHITURIQUI,104,11,,751521.384499999694526,8029836.935499999672174,,-60.627232680086202,-17.804622309666552,
181,F3 7 MO,PARCELA 3,7,MOMOQUI,107,17,,751516.448699999600649,8029846.781999999657273,,-60.627280389641690,-17.804533950415262,
182,F3 8 CU,PARCELA 3,8,CURUPAU,107,17,,751522.618499999865890,8029849.108900000341237,,-60.627222500391518,-17.804512230146315,
183,F3  9 MO,PARCELA 3,9,MOMOQUI,143,26,,751514.629300000146031,8029851.955099999904633,,-60.627298160363246,-17.804487440178526,
184,F3  10 CE,PARCELA 3,10,CEDRO,140,24,,751509.868700000457466,8029873.764899999834597,,-60.627345647045296,-17.804291019943260,
185,F3  11 ST,PARCELA 3,11,SOTO,131,23,,751527.480999999679625,8029880.307599999941885,,-60.627180384816278,-17.804229917412492,
186,F3  12 CU,PARCELA 3,12,CURUPAU,100,19,,751533.016200000420213,8029851.818300000391901,,-60.627124797367550,-17.804486571702693,
187,F3  13 CU,PARCELA 3,13,CURUPAU,146,25,,751526.802199999801815,8029856.330199999734759,,-60.627183920211898,-17.804446535660858,
188,F3  14 CU,PARCELA 3,14,CURUPAU,81,16,,751504.942099999636412,8029889.980499999597669,,-60.627394030428512,-17.804145140060299,
189,F3  15 ST,PARCELA 3,15,SOTO,107,16,,751503.491799999959767,8029881.409599999897182,,-60.627406679733937,-17.804222710048286,
190,F3  16 CU,PARCELA 3,16,CURUPAU,96,13,,751504.128100000321865,8029895.297000000253320,,-60.627402339581359,-17.804097219722834,
191,F3  17 CU,PARCELA 3,17,CURUPAU,145,24,,751497.413900000043213,8029895.056499999947846,,-60.627465610367764,-17.804100159869542,
192,F3  18 ST,PARCELA 3,18,SOTO,118,19,,751510.208300000056624,8029897.080199999734759,,-60.627345230228030,-17.804080419926521,
193,F3  19 MO,PARCELA 3,19,MOMOQUI,106,17,,751517.475499999709427,8029897.445299999788404,,-60.627276760817573,-17.804076291201859,
194,F3  20 AJ,PARCELA 3,20,AJUNAO,123,18,,751519.937300000339746,8029894.585599999874830,,-60.627253210113523,-17.804101835556544,
195,F3  21 CU,PARCELA 3,21,CURUPAU,180,28,,751523.085900000296533,8029886.414400000125170,,-60.627222550004063,-17.804175269631287,
196,F3  22 CU,PARCELA 3,22,CURUPAU,142,25,,751530.046600000001490,8029890.127500000409782,,-60.627157370082699,-17.804140940048640,
197,F3  23 CU,PARCELA 3,23,CURUPAU,160,27,,751530.331699999980628,8029913.447300000116229,,-60.627171349939793,-17.804016390168290,
198,F3  24 CU,PARCELA 3,24,CURUPAU,142,25,,751521.679899999871850,8029906.207299999892712,,-60.627157467811337,-17.803930305651232,
199,F3  25 CU,PARCELA 3,25,CURUPAU,93,19,,751505.634399999864399,8029910.465300000272691,,-60.627238169567626,-17.803996680258436,
200,F3  26 CU,PARCELA 3,26,CURUPAU,142,25,,751502.771200000308454,8029919.056699999608099,,-60.627389950313216,-17.803960062011001,
201,F3  27 CU,PARCELA 3,27,CURUPAU,224,32,,751512.535799999721348,8029933.100899999961257,,-60.627417969832109,-17.803882800404196,
202,F3  28 CU,PARCELA 3,28,CURUPAU,148,20,,751517.694500000216067,8029937.838100000284612,,-60.627327589606487,-17.803754849615508,
203,F3  29 CU,PARCELA 3,29,CURUPAU,142,19,,751497.756400000303984,8029944.693199999630451,,-60.627279520814263,-17.803711477585072,
204,F3  30 CU,PARCELA 3,30,CURUPAU,150,25,,751528.738699999637902,8029903.935399999842048,,-60.627468309690883,-17.803651850131423,
